"index","title","cite","keywords"
1,"A regression model ling framework for receiver operating characteristic_curves in medical diagnostic testing",87,"['accuracy', 'classification', 'screening', 'sensitivity', 'signal detection']"
1,"Estimation of operating characteristics for dependent diagnostic test based on Latent_Markov model",24,"['latent Markov process', 'log-linear model', 'longitudinal data', 'marginal likelihood', 'missing data', 'reliability', 'sensitivity', 'specificity']"
1,"Time_dependent ROC_curves for censored survival_data and a diagnostic marker",1605,"['accuracy', 'discrimination', 'Kaplan-Meier estimator', 'kernel smoothing', 'sensitivity', 'specificity']"
1,"Correlation_adjusted_ESTIMATION of sensitivity and specificity of two diagnostic tests",138,"['Bayesian approach', 'data augmentation approach', 'dependent screening tests', 'Gibbs sampling', 'prevalence']"
1,"An individual level infectious disease model in the presence of uncertainty from multiple, imperfect diagnostic tests",34,"['Bayesian', 'compartmental model', 'diagnostic uncertainty', 'infectious disease modeling', 'reversible-jump MCMC']"
1,"Bayesian approaches to model ing the conditional_dependence between multiple diagnostic tests",322,"['Bayesian analysis', 'binary data', 'correlation', 'diagnostic tests', 'gold standard', 'latent class model', 'Markov chain Monte Carlo', 'random effects model', 'sensitivity', 'specificity']"
1,"Goodness_of_Fit Diagnostics for Bayesian Hierarchical model",20,"['Discrepancy measures', 'Markov chain Monte Carlo', 'Model checking', 'Model criticism', 'Model hierarchy', 'Posterior-predictive density']"
1,"Diagnostic checking for time_series model with conditional_heteroscedasticity estimated by the least_absolute deviation approach",26,"['absolute residual autocorrelation', 'asymptotic distribution', 'diagnostic checking', 'GARCH model', 'local least absolute deviation estimator', 'squared residual autocorrelation']"
1,"Insights into Latent_class analysis of diagnostic test performance",118,"['errors in variables', 'factor analysis', 'imperfect reference test', 'item response theory', 'latent variables', 'sensitivity', 'specificity']"
1,"Comparative study of ROC regression techniques_Applications for the computer_aided diagnostic system in breast cancer_detection",20,"['ROC curve', 'Regression techniques', 'B-splines', 'Computer-aided diagnosis']"
1,"Bayesian nonlinear regression model with scale mixtures of skew_normal_distribution ESTIMATION and case influence diagnostics",34,"['Bayesian inference', 'Nonlinear regression models', 'Scale mixtures of skew-normal distributions']"
1,"Diagnostics for functional regression via residual_process",52,"[""Cook's distance"", 'eigenvalue weighting', 'functional data analysis', 'gene expression profile', 'goodness-of-fit', 'hat matrix', 'principal component', 'randomization test', 'residuals']"
1,"Bivariate Birnbaum_Saunders accelerated lifeTIME_model ESTIMATION and diagnostic analysis",33,"['Dependence', 'frailty', 'local influence', 'residual analysis', 'survival data']"
1,"Diagnostics in multivariate Generalized_Birnbaum_Saunders regression model",47,"['Birnbaum-Saunders distributions', 'global and local influence', 'goodness-of-fit', 'multivariate data analysis', 'R software']"
1,"Generalized_functional ANOVA diagnostics for high_dimensional functions of dependent variable",74,"['extrapolation', 'grid estimates', 'machine learning', 'variable importance']"
1,"Residual diagnostics for growth mixture model : Examining the impact of a preventive intervention on multiple trajectories of aggressive behavior",132,"['empirical Bayes', 'growth mixture modeling', 'latent variables', 'marginal maximum likelihood', 'preventive intervention', 'pseudoclass']"
2,"Smoothing parameter_selection in nonparametric regression using an improved Akaike information criterion",757,"['convolution kernel regression estimator', 'local polynomial regression estimator', 'plug-in method', 'smoothing spline regression estimator']"
2,"A CRITERION FOR DETERMINING THE NUMBER OF GROUPS IN A DATA SET USING SUM_OF_SQUARES CLUSTERING",399,"[]"
2,"Density_ESTIMATION by Total Variation Penalized Likelihood Driven by the Sparsity l(1) Information Criterion",14,"['convex programme', 'dual block coordinate relaxation', 'extreme value theory', 'l(1)-penalization', 'smoothing', 'total variation', 'universal penalty parameter']"
2,"Understanding predictive information criteria for Bayesian model",830,"['AIC', 'DIC', 'WAIC', 'Cross-validation', 'Prediction', 'Bayes']"
2,"A comparison of some criteria for states_selection in the Latent_Markov model for longitudinal data",34,"['Akaike information criterion', 'Bayesian information criterion', 'Entropy', 'Mixture model', 'Multivariate latent Markov model', 'Normalized entropy criterion']"
2,"CRITERIA FOR BAYESIAN model CHOICE WITH APPLICATION TO variable_selection",150,"['Model selection', 'variable selection', 'objective Bayes']"
2,"A modified Bayes information criterion with applications to the analysis of comparative genomic hybridization data",215,"['Bayes information criterion', 'change-point', 'comparative genomic hybridization', 'model selection']"
2,"On the use of a penalized quasilikelihood information criterion for Generalized_linear_mixed_model",1,"['Fixed effect', 'Model selection', 'Penalized quasilikelihood', 'Random effect', 'Variable selection']"
2,"A validated information criterion to determine the structural dimensions in dimension_REDUCTION model",22,"['Dimension reduction', 'Estimating equation', 'Information criterion', 'Linearity condition', 'Model selection', 'Penalization', 'Structural dimension']"
2,"Extended Bayesian information criteria for model_selection with large_model spaces",780,"['Bayesian paradigm', 'consistency', 'genome-wide association study', 'tournament approach', 'variable selection']"
2,"Bootstrap variants of the Akaike information criterion for mixed model_selection",45,"['AIC', 'Kullback-Leibler information', 'model selection criteria']"
2,"Optimal QR_based_ESTIMATION in partially_linear regression model with correlated_errors using GCV criterion",27,"['Generalized ridge estimation', 'Kernel smoothing', 'Multicollinearity', 'QR decomposition', 'Partially linear regression model', 'Shrinkage parameter']"
2,"Bias_corrected Kullback_Leibler distance criterion based model_selection with covariable missing at random",1,"['Pseudo empirical likelihood', 'Missing covariates', 'Bias correction']"
2,"Locally adaptive_image denoising by a statistical_multiresolution criterion",14,"['Image reconstruction', 'Statistical multiresolution criterion', 'Bandwidth selection']"
2,"High_dimensional Ising model_selection with Bayesian information criteria",50,"['Bayesian information criterion', 'graphical model', 'logistic regression', 'log-linear model', 'neighborhood selection', 'variable selection']"
2,"model_selection using information criteria under a new_ESTIMATION method: least_squares ratio",4,"['model selection', 'least squares ratio', 'subset selection', 'information criteria']"
2,"On some characterizations and multidimensional criteria for testing homogeneity, symmetry and independencel",10,"['Characteristic function', 'Distance correlation', 'Independence testing', 'Symmetry testing', 'Two-sample problem']"
2,"Application of modified information criterion to multiple change point problems",28,"['consistency', 'convergence rate', 'limiting distribution', 'multiple change points', 'model complexity', 'regular parametfic model']"
2,"The comparison study of the model_selection criteria on the Tobit regression model based on the bootstrap sample augmentation mechanisms",28,"['Tobit regression model', 'model selection', 'information criteria', 'bootstrap sampling', 'variable selection']"
2,"Extending the akaike information criterion to mixture regression model",49,"['akaike information criterion', 'cluster analysis', 'EM algorithm', 'mixture models', 'model selection', 'variable selection']"
2,"The focused information criterion",216,"[""Akaike's information criterion"", 'bias and variance balance', 'focused information criterion', 'logistic regression', 'moderate misspecification', 'variable selection']"
2,"Regularization Parameter Selections via Generalized_Information Criterion",154,"['Akaike information criterion', 'Bayesian information criterion', 'Least absolute shrinkage and selection operator', 'Nonconcave penalized likelihood', 'Smoothly clipped absolute deviation']"
2,"model_selection via Bayesian Information Criterion for quantile Regression model",85,"['High dimension', 'Linear quantile regression', 'Model selection consistency', 'Nonparametric quantile regression', 'Regularization parameter selection', 'Shrinkage method']"
2,"The deviance information criterion: 12 years on",299,"['Bayesian', 'Model comparison', 'Prediction']"
3,"A linear mixed_effects model with heterogeneity in the random_effect population",374,"['empirical Bayes', 'goodness-of-fit test', 'longitudinal model', 'mixture model', 'normality assumption']"
3,"Inference for biomedical data by using diffusion model with covariates and mixed_effects",50,"['Approximate maximum likelihood', 'Asymptotic normality', 'Consistency', 'Covariates', 'Electroencephalography data', 'Local asymptotic normality', 'Mixed effects', 'Non-homogeneous observations', 'Random effects', 'Stochastic differential equations']"
3,"Bayesian inference for stochastic differential equation mixed_effects model of a tumour xenography study",9,"['Intractable likelihood', 'Pseudo-marginal Markov chain Monte Carlo sampling', 'Repeated measurements', 'State space model', 'Synthetic likelihood']"
3,"Stochastic Differential Mixed_Effects model",44,"['biomedical applications', 'Brownian motion with drift', 'CIR process', 'closed-form transition density expansion', 'Gaussian quadrature', 'geometric Brownian motion', 'maximum likelihood estimation', 'Ornstein-Uhlenbeck process', 'random parameters', 'stochastic differential equations']"
3,"maximum_likelihood inference in robust linear mixed_effects model using multivariate t_distribution",37,"['AIC', 'EM-algorithm', 'Gauss-Newton algorithm', 'longitudinal', 'data', 'MBP algorithm', 'outlier']"
3,"conditional_Akaike information for mixed_effects model",359,"['Akaike information', 'AIC', 'effective degrees of freedom', 'linear mixed model']"
3,"Practical_ESTIMATION of high_dimensionsal stochastic differential mixed_effects model",38,"['Automatic differentiation', 'Closed form transition density expansion', 'Maximum likelihood estimation', 'Population estimation', 'Stochastic differential equation', 'Cox-Ingersoll-Ross process']"
3,"Use of the probability integral transformation to fit nonlinear mixed_effects model with nonnormal random_effects",49,"['beta-binomial distribution', 'frailty model', 'Newton-Raphson algorithm', 'quadrature']"
3,"Efficient algorithms for robust_ESTIMATION in linear mixed_effects model using the multivariate t_distribution",201,"['EM', 'ECM', 'ECME', 'longitudinal data', 'outliers', 'PX-EM', 'random effects', 'repeated measures']"
3,"Convergence rate_of MLE in Generalized_linear and nonlinear mixed_effects model : Theory and applications",32,"['MLE', 'convergence rate', 'generalized linear and nonlinear mixed-effects models', ""Laplace's approximation"", 'PQL', 'CGEE2']"
